RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CCEC_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CCEC_ST1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CEDROHI_CHW1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CFLATS_UNIT,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHAMON_UN1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHAMON_UN2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHEDPW_GT2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHE_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHE_LYD,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHE_LYD2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHE_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CHE_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,COL_COLETOG1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,COTPLNS_RN,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,COTTON_PAP2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CPSES_UNIT1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CPSES_UNIT2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CSC_CSECG1_2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CVC_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CVC_CVCG1_5,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CVC_CVC_G2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,CVC_CVC_G3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DANSBY_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DC2SES_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DC_E,LZ_DC,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DC_L,LZ_DC,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DC_N,LZ_DC,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DC_R,LZ_DC,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DC_S,LZ_DC,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_GT1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_GT2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_GT3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_GT4,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_GT6,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DDPEC_ST1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DECKER_DPG1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DECKER_DPG2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DECKER_GT,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DENISON_G1_2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DERMOTT_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_DIB_G1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_DIB_G2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_DIB_G3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_DIB_G4,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DIB_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOWGEN_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOWGEN_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOWGEN_PUN3,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_61_2_63,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_64,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_81_2_84,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_G37_G35,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_G66_ST65,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_G67,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DOW_G96_ST95,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUKE_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUKE_GST1CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUKE_GT2_CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUP_DUPV1_G1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUP_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUP_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUP_PUN3,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,DUP_PUN4,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,ECLIPSE_UN1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,ELB_ELBCREEK,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,ELECTRAW_1_2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,ENAS_ENA1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,ETCCS_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,ETCCS_CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXGNSND_RN,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXGNWTL_1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_14,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_1_3,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_4,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_8,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_9_13,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,EXN_PUN3,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FAL_FALCONG1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FAL_FALCONG2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FAL_FALCONG3,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FEGC_RN,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FERGCC_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FERGCC_GT1_1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FERGCC_GT2_3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FERGCC_ST1_5,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FERMI_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FLCNS_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FLCNS_UNIT1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FLCNS_UNIT2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FLCNS_UNIT3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FLTCK_SSI,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FLUVANNA_1_2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FORMOSA_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FORMOSA_PUN1,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FORMOSA_PUN2,PUN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSA11,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSA12,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG10,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG3,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG4,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG5,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG6,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG7,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG8,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FO_FORMOSG9,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FPPYD_FPP_G1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FPPYD_FPP_G2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FPPYD_FPP_G3,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FREC_1_CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FREC_2_CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FREC_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FREC_CC2,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FRNYPP_1_CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FRNYPP_2_CCU,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FRNYPP_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FRNYPP_CC2,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FTR_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FTR_FTR_G1_4,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,FTWIND_UNIT1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GBY_GBY_5,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GBY_GT,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GIB_GIB_CRG1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GID_GIDEONG1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GID_GIDEONG2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GID_GIDEONG3,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GOA_GOATWIND,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GPASTURE_ALL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GRANDVW1_A_B,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GRSES_UNIT1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GRSES_UNIT2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GUADG_CC1,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GUADG_CC2,LCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GUADG_CCU1,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GUADG_CCU2,PCCRN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GUNMTN_NODE,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,GWEC_G1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HAYSEN1_2,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HAYSEN3_4,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HB_BUSAVG,SH,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HB_HOUSTON,HU,26.58
